brand,model,ram_gb,ssd,processor_brand,processor_gnrtn,price_myr
Lenovo,A6-9225,4,0,AMD,10th,1199.52
Lenovo,Ideapad,4,0,AMD,10th,940.32
Avita,PURA,4,128,AMD,10th,959.52
Avita,PURA,4,128,AMD,10th,1031.52
Avita,PURA,4,256,AMD,10th,1199.52
Avita,PURA,8,256,AMD,10th,1199.52
HP,APU,4,0,AMD,10th,1003.2
Lenovo,APU,4,0,AMD,10th,1051.01
HP,Athlon,32,32,AMD,10th,1291.15
acer,Aspire,4,256,AMD,10th,1535.52
ASUS,ExpertBook,4,0,Intel,10th,1663.15
Lenovo,v15,4,0,Intel,10th,1919.95
ASUS,ExpertBook,8,512,Intel,10th,3359.52
ASUS,ExpertBook,8,0,Intel,10th,2822.35
acer,Aspire,4,0,AMD,10th,2639.52
acer,Nitro,4,0,AMD,10th,2879.52
acer,Nitro,4,0,AMD,10th,4497.6
acer,Nitro,4,0,AMD,10th,3503.52
ASUS,ExpertBook,4,256,Intel,11th,1727.52
HP,x360,8,256,Intel,11th,2711.52
HP,x360,8,256,Intel,11th,3138.72
HP,15q,4,0,Intel,7th,1581.84
HP,250-G6,4,0,Intel,7th,2217.6
Lenovo,IdeaPad,8,256,Intel,10th,1823.52
ASUS,VivoBook,4,256,Intel,11th,1727.52
ASUS,VivoBook,8,256,Intel,10th,1631.04
DELL,Vostro,8,256,Intel,10th,1895.52
RedmiBook,15,8,256,Intel,11th,1871.52
HP,Pavilion,8,256,Intel,11th,2591.52
acer,Aspire,8,256,Intel,11th,1871.52
realme,Book,8,256,Intel,11th,2255.52
ASUS,VivoBook,8,256,Intel,11th,1818.72
Lenovo,IdeaPad,8,256,Intel,11th,1871.52
Lenovo,IdeaPad,8,256,Intel,10th,1823.52
DELL,Vostro,8,256,Intel,11th,2015.52
ASUS,VivoBook,8,256,Intel,11th,2207.52
Lenovo,IdeaPad,8,256,Intel,11th,1919.52
DELL,Inspiron,8,256,Intel,11th,2039.52
Infinix,INBook,8,256,Intel,10th,1583.52
DELL,Vostro,4,256,Intel,10th,1775.52
Lenovo,Ideapad,8,256,Intel,11th,2591.52
ASUS,VivoBook,8,256,Intel,11th,1775.52
Lenovo,IdeaPad,4,256,Intel,10th,1869.12
DELL,Inspiron,4,256,Intel,10th,1895.52
